Interval,% Processor Time,Disk Reads/sec,Disk Writes/sec,Log Bytes Flushed/sec
10/28/2017 2:39:53 PM,97.67918,41.59566,14.83709,0
10/28/2017 2:39:54 PM,26.57271,0,9.803835,0
10/28/2017 2:39:55 PM,27.08507,153.8209,9.923832,0
10/28/2017 2:39:56 PM,59.99893,41.36639,19.69856,0
10/28/2017 2:39:57 PM,8.551274,0.9839908,7.871616,0
10/28/2017 2:39:58 PM,4.836609,0,1.964236,0
10/28/2017 2:39:59 PM,18.62522,2.946118,2.945842,0
10/28/2017 2:40:00 PM,64.6144,13.77552,10.82379,0
10/28/2017 2:40:01 PM,25.38526,2.953325,37.41265,0
10/28/2017 2:40:02 PM,5.936104,0.9883894,10.87242,0
10/28/2017 2:40:03 PM,0.01418629,0,0,0
10/28/2017 2:40:04 PM,0,0,61.40995,0
10/28/2017 2:40:05 PM,0.1713048,0,1.965176,0
10/28/2017 2:40:06 PM,0,0,0,0
10/28/2017 2:40:07 PM,0,0,1.972586,0
10/28/2017 2:40:08 PM,0.5654544,0,1.986966,0
10/28/2017 2:40:09 PM,0.0101602,0,6.896338,0
10/28/2017 2:40:10 PM,0.8181511,0,0,0
10/28/2017 2:40:11 PM,12.25796,1.9861,8.936816,0
10/28/2017 2:40:12 PM,27.68979,0.9856734,3.942887,0
10/28/2017 2:40:13 PM,2.308164,0,4.923309,0
10/28/2017 2:40:14 PM,19.22949,0,2.930578,0
10/28/2017 2:40:15 PM,26.65908,0,1.930101,0
10/28/2017 2:40:17 PM,31.05201,0,1.937809,0
10/28/2017 2:40:18 PM,10.59972,0,2.912824,0
10/28/2017 2:40:19 PM,6.925671,0,0,0
10/28/2017 2:40:20 PM,20.39915,0,4.949911,0
10/28/2017 2:40:28 PM,13.37019,0.3615767,4.097929,0
10/28/2017 2:40:29 PM,0.7737152,0,1.969489,0
10/28/2017 2:40:30 PM,0.3327987,0,2.989395,0
10/28/2017 2:40:31 PM,8.607173,0,3.931322,0
10/28/2017 2:40:32 PM,2.316616,0,1.986403,0
10/28/2017 2:40:33 PM,11.28737,2.961607,8.884331,0
10/28/2017 2:40:34 PM,2.134862,0,4.930742,0
10/28/2017 2:40:35 PM,0.2652686,0,2.947198,0
10/28/2017 2:40:36 PM,0.6846349,0,1.96554,0
10/28/2017 2:40:37 PM,41.80363,0,43.80519,0
10/28/2017 2:40:38 PM,87.0424,28.29726,135.6386,0
10/28/2017 2:40:39 PM,100,64.18314,67.11578,0
10/28/2017 2:40:40 PM,100,31.639,63.31179,0
